Title,Author,List Price,Amazon Price,Hard/ Paper,NumPages,Publisher,Pub year,ISBN-10,Height,Width,Thick,Weight (oz)
A Hammock Beneath the Mangoes: Stories from Latin America,Thomas Colchie,20.0,14.6,P,448.0,Plume,1992.0,452268664,9.0,6.0,1.0,16.0
A Holocaust Reader: Responses to the Nazi Extermination,Michael L. Morgan (editor),39.95,37.95,P,384.0,"Oxford University Press, USA",2000.0,0195059581,9.2,6.6,0.8,22.4
A Light in the Attic,Shel Silverstein,18.99,11.58,H,192.0,HarperCollins,2009.0,61905852,8.8,6.8,1.0,25.6
A Midsummer Night's dream No Fear Shakespeare,Sparksnotes Editors,5.95,3.99,P,192.0,Sparks Notes,2003.0,1586638483,7.4,5.2,0.5,8.8
A Painted House,Grisham,15.0,10.2,P,384.0,Delta,2004.0,385337930,8.0,5.4,0.8,11.2
A Raisin In The Sun,Lorraine Hansberry,7.5,5.87,P,160.0,Vintage,2004.0,0679755330,6.7,4.1,0.6,4.0
A Raisin in the Sun,Lorraine Hansberry,15.95,10.85,H,176.0,Modern Library,1995.0,679601724,7.6,4.9,0.7,7.8
A Small Place,Jamaica Kincaid,13.0,10.4,P,96.0,"Farrar, Straus and Giroux",2000.0,374527075,8.0,5.7,0.5,4.0
A Tale of Two Cities,Dickens,11.94,11.94,P,428.0,Simon & Brown,2011.0,1613820771,9.0,6.0,1.2,24.0
A Virtuous Woman,Kaye Gibbons,14.0,11.2,P,176.0,Vintage,1997.0,375703063,8.0,5.2,0.5,9.6
A Visit from the Goon Squad,Egan,14.95,8.96,P,352.0,Anchor,2011.0,307477479,7.9,5.2,0.8,12.8
A Year with C. S. Lewis: Daily Readings from His Classic Works,Lewis,22.99,15.63,H,416.0,HarperOne,2003.0,60566167,7.5,5.7,1.4,16.0
"Absalom, Absalom! (The Corrected Text(",William Faulker,15.0,10.2,P,313.0,Vintage,1991.0,679732187,8.1,5.2,0.7,7.2
"Ada, or Ardor: A Family Chronicle",Vladimir Nabokov,18.0,12.11,P,624.0,Vintage,1990.0,0679725229,8.0,5.2,1.2,19.2
Adventures of Huckleberry Finn,Twain,7.95,7.95,H,336.0,Barnes & Noble Classics,2004.0,159308157,8.7,6.3,1.1,16.0
Adventures of Huckleberry Finn,Mark Twain,14.95,14.95,P,276.0,CreateSpace,2011.0,146352719,7.8,5.1,1.0,16.0
After Dark,Murakami,14.95,10.17,P,256.0,Vintage,2008.0,307278735,8.0,5.2,0.9,9.1
Alice in Wonderland,Lewis Carroll,7.95,7.95,H,283.0,Collector's Library,2009.0,1904633323,6.3,4.5,0.6,4.2
American Psycho,Ellis,15.95,8.39,H,416.0,Vintage,1991.0,679735771,8.0,5.3,0.9,12.8
Andrew Carnegie,David Nasaw,20.0,13.6,P,896.0,Penguin,2007.0,143112449,8.0,5.4,1.8,22.4
Animal Farm,George Orwell,14.0,8.75,P,128.0,Plume,2003.0,452284244,8.1,5.4,0.4,5.6
Appeals in Modern Rhetoric: An Ordinary Language Approach,M. Jimmie Killingsworth,29.5,26.61,P,192.0,Southern Illinois University Press,2005.0,809326639,8.9,6.0,0.5,9.6
"Art of Living: The Classical Mannual on Virtue, Happiness and Effectiveness (Plus)",Epictetus,11.99,9.59,P,144.0,HarperOne,2007.0,0061286052,8.0,4.9,0.4,5.6
As I Lay Dying,William Faulkner,13.07,12.52,P,400.0,W.W. Norton,2009.0,393931382,8.3,5.1,0.9,13.6
Beauty and Sadness,Kawabata,13.95,11.16,P,206.0,Vintage,1996.0,679761055,8.0,5.1,0.6,8.8
Beloved,Toni Morrison,15.0,10.22,P,321.0,Vintage,2004.0,1400033411,7.9,5.2,0.8,12.0
Big Dog . . . Little Dog,Eastman,4.99,4.99,H,24.0,Random House Books,2006.0,375875395,5.8,4.3,0.5,4.0
Black Water,Oates,13.0,10.4,P,160.0,Plume,1993.0,452269865,8.0,5.4,0.4,4.8
Blessed Are the Bored in Spirit: A Young Catholic's Search for Meaning,Mark Hart,13.99,10.54,P,129.0,St. Anthony Messenger Press,2006.0,0867166770,7.9,5.1,0.2,5.6
Born To Run,Mcdougall,24.95,15.82,H,304.0,Knopf,2009.0,307266303,9.5,6.6,1.1,24.0
Bossypants,Tina Fey,26.99,15.6,H,288.0,Reagan Arthur Books,2011.0,316056863,9.5,6.5,1.0,19.2
"Busting Vegas: A True Story of Monumental Excess, Sex, Love, Violence and Beating the Odds",Ben Mezrich,14.95,10.17,P,304.0,Harper Perennial,2006.0,60575123,8.0,5.3,0.7,5.6
Caddie Woodlawn,Carol Ryrie Brink,6.69,6.99,P,288.0,Aladdin,2006.0,1416940286,7.6,5.2,0.8,4.8
Call It Courage,Armstrong Sperry,5.99,5.99,P,128.0,Simon Pulse,2008.0,141695368X,6.8,4.1,0.4,2.4
Cane River,Lalita Tademy,13.95,11.16,P,560.0,Grand Central Publishing,2002.0,446678457,8.0,5.2,1.5,16.0
Cat's Cradle: A Novel,Kurt Vonnegut,26.95,20.48,H,287.0,Turtleback,1998.0,0808520695,8.1,5.3,1.0,12.2
Catch-22,Jospeh Heller,24.0,16.32,H,624.0,Everyman's Library,1995.0,0679437223,8.4,5.3,1.4,22.4
Catch-22,Joseph Heller,16.0,9.07,P,544.0,Simon and Schuster,2011.0,1451626657,8.4,5.4,1.3,19.2
Catcher in the Rye,JD Salinger,13.99,8.38,P,288.0,Back Bay Books,2001.0,316769177,5.2,8.0,0.9,5.6
Catching Fire,Collins,17.99,8.97,H,391.0,Scholastic Press,2009.0,439023491,8.3,5.7,1.5,22.4
Caucasia: A Novel,Danzy Senna,15.0,10.2,P,432.0,Riverhead Trade,1999.0,1573227161,8.0,5.1,0.9,15.2
Charlotte's Web,E.B.White,8.99,8.99,P,192.0,HarperCollins,2001.0,0064410935,8.6,5.5,0.9,13.6
Cloudy With a Chance of Meatballs,Judi Barrett,6.99,6.99,P,32.0,Atheneum Books for Young Readers,1982.0,689707490,8.5,9.3,0.1,1.6
Cross,James Patterson,14.54,9.99,P,416.0,Grand Central Publishing,2007.0,446619051,7.5,4.2,1.2,9.6
Crossing The Chasm,Moore,17.99,11.36,P,256.0,Harper Paperbacks,2002.0,60517123,8.0,5.4,0.6,7.8
Culture and Psychology,David Matsumoto,114.95,83.04,P,544.0,Wadsworth Publishing,2007.0,049509787X,9.1,7.3,0.8,28.8
"Curious Researcher, The (7th Edition)",Bruce Ballenger,48.2,44.32,P,384.0,Longman,2011.0,205172873,8.9,6.0,0.6,14.4
Cutting for Stone,Verghese,15.95,7.97,P,667.0,Vintage,2010.0,375714367,8.0,5.2,1.2,17.6
Cutting for Stone,Abraham Verghese,15.95,7.97,P,667.0,Vintage,2010.0,0375714367,8.0,5.2,1.2,17.6
Death of a Salesman,Arthur Miller,18.0,12.24,P,448.0,Penguin,1996.0,0140247734,7.7,5.0,0.8,11.4
Discovering a Global Past: A Look at the Evidence,Merry Wiesner-Hanks,86.95,54.61,P,512.0,Wadsworth Publishing,2006.0,618526382,9.1,7.4,0.8,23.2
Dispatches,Michael Herr,15.0,10.2,P,272.0,Vintage,1991.0,679735259,7.9,5.1,0.8,9.6
Divergent,"Roth, Veronica",17.99,11.46,H,496.0,Katherine Tegen Books,2011.0,62024027,8.2,5.8,1.6,19.2
Drowning Ruth: A Novel,Christina Schwarz,15.0,10.2,P,368.0,Ballantine Books,2001.0,345439104,8.2,5.6,0.8,9.6
East of Eden,John Steinbeck,11.5,11.5,P,601.0,Penguin,2002.0,142000655,8.5,5.8,1.6,22.4
"Enchantment: The Art of Changing Hearts, Minds, and Actions",Kawasaki,26.95,14.99,H,211.0,Portfolio Hardcover,2011.0,1591843790,8.3,5.5,1.0,8.0
Ender's Game,Orson Scott Card,6.99,6.99,P,352.0,Tor science Fiction,1994.0,0812550706,6.7,4.2,1.0,5.6
Even Cowgirls Get the Blues,Tom Robbins,15.0,10.2,P,384.0,Bantam,1990.0,055334949X,8.2,5.3,0.8,10.4
Everything that Rises Must Converge,Flannery O'Connor,16.0,10.88,P,320.0,"Farr, Straus and Giroux",1965.0,374504644,8.3,5.5,0.8,10.4
Existential Therapies,Mick Cooper,53.95,39.92,P,192.0,Sage Publications Ltd,2003.0,761973214,9.1,6.1,0.5,11.2
F My Life,Maxime Valette,15.0,10.2,P,288.0,Villard,2009.0,345518764,7.2,5.6,0.7,7.2
Fahrenheit 451,Ray Bradbury,6.99,6.99,P,208.0,Ballantine Books,1987.0,345342968,6.9,4.1,0.7,4.0
Fear and Loathing in Las Vegas,Thompson,12.0,9.07,P,224.0,Vintage,1998.0,679785892,7.9,5.1,0.7,8.0
Fences,August Wislon,21.1,16.46,H,,Perfection Leraning,1986.0,780707508,9.0,6.0,1.0,22.4
Fight Club,Palahniuk,13.95,7.83,P,224.0,W.W. Norton,2005.0,393327345,8.0,5.4,0.7,6.4
Final Harvest: Poems,Dickinson,14.99,10.19,H,352.0,Back Bay Books,1964.0,316184152,5.6,8.2,1.0,10.4
"First, Break All the Rules: What the World's Greatest Managers Do Differently","Buckingham, Coffman",30.0,17.43,H,255.0,Simon & Schuster,1999.0,684852861,9.6,6.5,0.9,16.0
Four Blind Mice,James Patterson,7.99,7.99,P,416.0,Grand Central Publishing,2003.0,446613266,6.8,4.2,1.1,7.2
Frankenstein,Mary Shelley,8.0,8.0,P,208.0,Simon & Brown,2011.0,1613820631,8.9,5.9,0.6,11.2
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,15.99,9.95,P,315.0,Harper Perennial,2009.0,60731338,7.9,5.3,0.8,8.0
Full Black: A Thriller (Scot Harvath),Brad Thor,26.99,14.61,H,400.0,Atria,2011.0,141658661X,9.4,6.3,1.4,22.4
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann and Mark Halperin,27.99,11.2,H,464.0,Harper,2010.0,61733636,9.1,6.0,1.7,1.2
Game of Thrones,Martin,17.0,10.46,P,720.0,Bantam,2011.0,553386794,9.1,6.2,1.5,27.2
Given up for dead,Bill Sloan,6.99,6.99,P,560.0,BANTAM,2008.0,553585673,6.7,4.1,0.9,9.6
Go the F**k Asleep,Adam Mansbach,14.95,8.97,H,32.0,Akashic Books,2011.0,1617750255,8.3,6.3,0.3,8.0
God in the Dock: Essays on Theology and Ethics,Lewis,18.0,12.24,P,346.0,William B. Eerdmans Publishing Company,1994.0,802808689,8.5,5.4,0.8,14.1
Grapes of Wrath,John Steinbeck,16.0,9.2,P,464.0,Penguin Classics,2006.0,143039431,8.4,5.2,1.0,12.8
Gregor the Overlander,Collins,6.99,6.99,P,320.0,Scholastic Paperbacks,2004.0,439678137,7.5,5.2,0.9,8.0
Harvesting the Heart,Jodi Picoult,16.0,10.88,P,464.0,Penguin (Non-Classics),1993.0,140230270,8.3,5.2,1.2,11.2
Hate List,Brown,8.99,8.99,P,432.0,"Little, Brown",2010.0,316041459,8.2,5.5,1.2,14.4
Helmet for my pillow,Robert Leckie,16.0,9.09,P,305.0,Bantam Books,2010.0,553593315,7.9,5.1,0.9,8.8
"Heroes of Olympus, The, Book Two: The Son of Neptune","Riordan, Rick",19.99,10.75,H,544.0,Hyperion Book CH,2011.0,1423140591,,,1.8,25.6
Holes,Louis Sachar,18.0,12.24,H,272.0,"Farrar, Straus and Giroux",2008.0,374332665,8.1,5.6,0.9,12.8
Hop on Pop,Seuss,8.99,8.99,H,72.0,Beginner Books,1963.0,039480029X,9.3,6.7,0.4,14.4
Hope Leslie,Sedgwick,17.0,11.55,H,448.0,Penguin Classics,1998.0,140436766,7.8,5.1,0.9,11.2
How to Breathe Underwater,Orringer,14.0,11.2,P,226.0,Vintage,2005.0,1400034361,8.1,5.2,0.6,8.8
How to Paint Tractors & Trucks,Timothy Remus,27.95,19.99,P,144.0,Wolfgang Publications,2008.0,1929133472,10.8,8.4,0.5,17.6
How to Restore Your John Deere Two-Cylinder Tractor,Spencer Yost,139.95,139.95,P,160.0,Voyageur Press,2002.0,760309795,10.6,8.2,0.5,22.4
I am Grateful: Recipes and Lifestyles of Caf Gratitute,Engelhart,24.95,16.47,P,200.0,North Atlantic Books,2007.0,1556436475,9.0,7.0,1.0,14.0
Ice bound,"Maryanne Vollers, Jerri Nielsen",14.95,5.98,P,377.0,,,786886994,8.3,5.3,1.0,12.8
If I Stay,Forman,6.95,6.95,P,272.0,Speak,2010.0,014241543X,8.3,5.4,0.8,9.6
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,26.0,13.0,H,464.0,Crown,2011.0,307408841,9.5,6.0,1.5,25.6
"In The Plex: How Google Thinks, Works, and Shapes Our Lives",Levy,26.0,14.44,H,432.0,Simon & Schuster,2011.0,1416596585,9.4,6.2,1.4,22.4
Inherit The Wind,Jerome Lawrence and Robert E. Lee,9.95,5.13,P,144.0,Ballantine books,2007.0,0345501039,7.6,5.2,0.4,4.0
Inheritance,"Paolini, Christopher",27.99,13.98,H,704.0,Knopf Books for Young Readers,2011.0,375856110,,,2.1,
Innovation and Entrepreneurship,Drucker,16.99,11.55,P,288.0,Harper Paperbacks,2006.0,60851139,8.0,5.3,0.6,6.4
Innovation Killers: How Financial Tools Destroy Your Capacity to Do New Things,Christensen,8.95,8.95,P,64.0,Harvard Business Press,2010.0,1422136558,6.3,4.2,0.2,2.4
Interpreter of Maladies,Lahiri,14.95,8.6,P,198.0,Mariner Books,1999.0,039592720X,8.2,5.7,0.5,17.6
Invisible Man,Ralph Ellison,15.95,10.22,P,608.0,Vintage,1995.0,679732764,8.0,5.2,1.1,17.6
Invisible Man,Ellison,21.0,13.43,H,624.0,Modern Library,1995.0,679601392,7.8,4.8,1.8,25.6
Invitation to a Beheading,Vladimir Nabokov,14.0,11.08,P,240.0,Vintage,1990.0,0679725318,8.0,5.2,0.6,8.0
Islam:  A Short Guide to the Faith,"Allen, Toorawa",20.0,13.6,P,200.0,Wm. B. Eerdmans,2011.0,080286600X,8.9,6.0,0.6,11.2
Jitterbug Perfume,Tom Robbins,15.0,10.2,P,352.0,Bantam,1990.0,553348981,8.3,5.2,0.8,9.6
Kabul Beauty School: An American Woman Goes Behind the Veil,Deborah Rodriguez,14.95,10.17,P,320.0,Random House Trade Paperbacks,2007.0,812976738,7.9,5.4,0.9,7.2
Kafka On the Shore,Murakami,15.95,8.39,P,480.0,Vintage,2006.0,1400079276,8.0,5.4,1.1,14.4
Kiss the Girls,James Patterson,14.99,10.19,P,481.0,Warner Books,2000.0,446677388,8.0,5.2,1.2,14.4
Lady in the Lake,Raymond Chandler,14.0,11.2,P,272.0,Vintage,1988.0,394758251,8.1,5.2,0.6,9.9
Laughter in the Dark,Vladimir Nabokov,12.95,8.36,P,308.0,New Directions,2006.0,811216748,8.1,5.3,0.7,9.6
Lies that Chelsea Handler Told Me (A Chelsea Handler Book/Borderline Amazing Publishing),Chelsea Handler,24.99,15.2,H,304.0,Grand Central Publishing,2011.0,446584711,8.8,6.0,1.0,14.4
Life of Pi,Yann Martel,15.0,8.68,P,326.0,Mariner Books,2003.0,156027321,7.9,5.3,1.0,12.0
Lives of Girls and Women: A Novel,Alice Munro,15.0,10.33,P,288.0,Vintage,2001.0,375707492,8.0,5.2,0.6,16.0
Long Day's Journey into Night: Second Edition,Eugene O'Neill,25.95,25.95,H,192.0,Yale University Press,2002.0,300094108,8.2,6.2,0.9,9.6
Lord of the Flies,William Golding,25.0,16.5,H,336.0,Perigee Trade,2003.0,399529209,8.4,5.4,1.2,16.0
Lord of the Flies,William Golding,9.99,9.99,P,208.0,Perigee Books,1959.0,399501487,7.2,4.2,0.6,4.0
Lost in Shangri-La,Mitchell Zuckoff,26.99,15.44,H,400.0,Harper,2011.0,61988340,9.1,6.4,1.4,22.4
Madeline,Ludwig Bemelmans,17.99,10.58,H,54.0,The Viking Press,1967.0,670445806,12.1,9.2,0.5,17.6
Major Pettigrew's Last Stand: A Novel,Simonson,15.0,8.84,H,384.0,Random House Trade Paperbacks,2010.0,812981227,7.9,5.2,1.0,10.4
March,Geraldine Brooks,15.0,8.15,P,304.0,Penguin (Non-classics),2006.0,0143036661,7.8,5.2,0.6,8.0
Masculinites: Second Edition,R.W. Connell,25.05,22.81,P,349.0,University of California Press,2005.0,520246980,9.0,6.1,0.9,13.4
Matched,"Condie, Ally",17.99,11.24,H,384.0,Dutton Juvenile,2010.0,525423648,9.0,6.4,1.4,16.0
Mercy,Jodi Picoult,16.0,8.59,P,416.0,Washington Square Press,2001.0,0743422449,8.3,5.3,1.1,12.0
Message in a Bottle,Sparks,14.99,10.19,P,352.0,Grand Central Publishing,1999.0,446676071,8.0,5.2,1.0,6.4
Middlemarch (Penguin Hardback Classics),Eliot,20.0,12.17,H,880.0,Penguin Classics Hardcover,2011.0,141196890,7.9,5.4,2.0,35.2
Misery,Stephen King,7.99,7.99,P,352.0,Signet,2004.0,451169522,6.9,4.2,1.0,6.9
Mockingjay,Collins,17.99,7.98,H,400.0,Scholastic Press,2010.0,439023513,8.3,5.4,1.5,22.4
Modern Man in Search of a Soul (Harvest Book),C.G. Jung,14.0,11.2,P,244.0,Harcourt Harvest,1955.0,156612062,8.0,5.3,0.6,6.4
Moll Flanders (Norton Critical Editions),Daniel Defoe,13.29,13.29,P,544.0,W. W. Norton & Company,2004.0,393978621,8.5,5.2,1.0,28.8
My Sister's Keeper,Jodi Picoult,16.0,10.77,P,448.0,Washington Square Press,2005.0,0743454537,8.2,5.4,1.2,6.4
Nathaniel Hawthorne's Tales,Hawthorne,13.83,13.83,H,480.0,W. W. Norton & Co.,1987.0,393954269,8.5,5.2,1.0,17.6
No Longer at Ease,Chinua Achebe,12.0,9.6,P,194.0,Anchor,1994.0,385474555,8.0,5.4,0.7,6.4
Noe Exit and Three Other Plays,Jean-Paul Sartre,14.95,10.17,P,275.0,Vintage,1989.0,679725164,7.9,5.1,0.7,7.2
Norwegian Wood,Murakami,15.0,7.9,P,298.0,Vintage,2000.0,375704027,8.0,5.2,0.8,7.8
Number the Stars,Lois Lowry,16.99,11.55,H,144.0,Houghton Mifflin Books for Children,1989.0,395510600,8.1,5.8,0.6,12.0
Ocean of Words Army Stories,Ha Jin,15.0,10.2,P,224.0,Vintage,1998.0,375702067,8.0,5.2,0.7,9.0
Oedipus the King,E.A. Sophocles,6.95,6.95,P,92.0,CreateSpace,2010.0,1453626409,7.8,5.1,1.0,16.0
Of Mice and Men,John Steinbeck,14.0,8.75,P,112.0,Penguin,2002.0,0142000671,8.4,5.7,0.4,6.4
Official Book Club Selection: A Memoir According to Kathy Griffin,Kathy Griffin,15.0,10.2,P,384.0,Ballantine Books,2010.0,034551856X,7.8,5.1,0.9,9.9
Olive Twist,Charles Dickens,20.0,13.6,H,607.0,Penguin Classics,2010.0,141192496,7.9,5.1,1.5,24.0
Orientalism,Edward W. Said,16.0,10.88,P,368.0,Vintage,1979.0,039474067X,7.8,5.2,1.0,11.2
Pale Fire,Vladimir Nabokov,15.0,10.2,P,224.0,Lancer Books,1989.0,0679723420,8.0,5.3,0.7,8.0
Paradise (Oprah's Book Club),Toni Morrison,16.0,10.88,P,352.0,Plume,1999.0,452280397,8.0,5.4,0.7,10.4
Patterns of Culture,Ruth Benedict,15.0,10.09,P,320.0,Mariner Books,2006.0,618619550,8.2,5.5,0.9,12.0
People of the Book,Geraldine Brooks,15.0,8.24,P,372.0,Penguin (Non-classics),2008.0,0143115006,7.8,5.1,0.7,10.4
Perfect Match,Jodi Picoult,16.0,8.61,P,368.0,Washington Square Press,2003.0,0743418735,8.3,5.3,1.1,12.0
Peter Pan,J.M. Barrie,8.95,8.95,P,192.0,Modern Library,2004.0,081297297X,8.1,5.2,0.4,5.6
Pippi Longstocking,Astrid Lindgren,5.99,5.99,P,160.0,Puffin,2005.0,1042402494,6.6,5.2,0.4,4.8
Plain Truth,Jodi Picoult,16.0,8.87,P,432.0,Washington Square Press,2007.0,1416547819,8.2,5.3,1.2,15.2
Playing for Pizza,Grisham,15.0,9.98,P,272.0,Bantam,2011.0,385344007,7.8,5.2,0.6,7.2
Pnin,Vladimir Nabokov,14.0,11.08,P,208.0,Vintage,1989.0,0679723412,7.9,5.4,0.6,7.8
Population Decline and Aging in Japan,Florian Coulmas,35.95,35.95,P,176.0,Routledge,2007.0,415480116,9.1,6.1,0.5,9.9
Pride and Prejudice,Jane  Austin,14.99,10.98,P,262.0,CreatSpace,2011.0,1463683685,9.0,6.0,0.7,16.0
Pride and Prejudice (Dover Thrift Editions),Austin,7.95,7.95,H,272.0,Dover Publications,1995.0,486284735,8.2,5.2,0.7,7.2
Prized,"O'Brien, Caragh M.",16.99,10.79,H,368.0,Roaring Brook Press,2011.0,1596435704,,,1.2,
Psychology Ninth Edition in Modules,David G. Myers,98.95,98.95,H,778.0,Worth Publishers,2009.0,1429238240,11.3,9.5,1.5,
Pudd'nhead Wilson,Mark Twain,35.75,25.84,P,436.0,Nabu Press,2010.0,1145899323,9.5,7.4,1.0,25.6
Rainbow Green Live-Food Cuisine,Cousens,19.73,15.68,H,544.0,North Atlantic Books,2003.0,1556434650,9.0,7.0,1.0,
"Raw Food, Real World: 100 Recipes to Get the Glow",Kenny & Meingallis,37.5,25.0,H,384.0,William Morrow Cookbooks,2005.0,60793554,9.1,7.3,1.4,
Rebecca,Daphne du Maurier,14.95,5.98,P,416.0,Avon Books,1997.0,380730405,7.9,5.1,1.1,11.2
Reflections on the Psalms,Lewis,13.0,9.64,P,168.0,Mariner Books,1964.0,15676248,8.0,5.3,0.4,5.6
Requiem For a Dream,Selby Jr.,15.95,10.85,P,288.0,Da Capo Press,2000.0,1560252480,8.2,5.5,0.8,12.8
Revival: The Struggle for the Survival Inside the Obama White House,Richard Wolffe,26.0,16.91,H,320.0,Crown,2010.0,307717410,9.3,6.3,1.3,1.2
Romeo and Juliet,William Shakespeare,5.99,5.99,P,336.0,Simon and Schuster,2004.0,0743477111,6.6,4.2,1.0,6.4
Room,Donoghue,14.99,8.11,P,352.0,Back Bay Books,2011.0,316098329,8.2,5.4,1.0,14.4
Rules For Revolutionaries: The Capitalist Manifesto for Creating and Marketing New Products and Services,Kawasaki,16.0,12.47,P,224.0,Harper Paperbacks,2000.0,88730995,8.2,5.3,0.6,6.4
Run For Your Life,James Patterson & Michael Ledwidge,9.99,9.99,P,368.0,Vision,2010.0,446556998,8.0,4.2,1.2,6.4
Runaway,Alice Munro,15.95,10.85,P,352.0,Vintage,2005.0,1400077915,7.8,5.5,0.8,10.4
Safe Haven,Sparks,14.99,9.57,P,368.0,Grand Central Publishing,2011.0,446547603,8.2,5.2,1.0,11.2
Sanctuary (The Corrected Text),William Faulker,14.0,11.08,P,336.0,Vintage,1993.0,679748148,8.2,5.2,0.7,9.1
Sarah's Key,Tatiana de Rosnay,13.95,8.07,P,320.0,St. Martin's Griffin,2008.0,0312370849,8.2,5.4,0.9,11.2
Saving CeeCee Honeycut,Hoffman,15.0,6.0,P,320.0,Penguin,2010.0,143118579,7.6,5.1,0.7,8.0
Seabiscuit,Laura Hillenbrand,16.0,9.75,P,399.0,Ballantine books,2002.0,449005615,8.1,5.5,0.9,15.2
Security Analysis: Sixth Edition,Benjamin Graham,75.0,39.45,H,700.0,ÊMcGraw-Hil,2008.0,71592539,9.5,6.5,,
Seeing What's Next: Using Theories of Innovation to Predict Industry Change,Christensen,32.95,21.75,H,352.0,Harvard Business Press,2004.0,1591391857,9.5,6.5,1.2,25.6
Sex on the Moon:  The Amazing Story Behind the Most Audacious Heist in History,Ben Mezrich,26.95,17.73,H,320.0,DoubleDay,2011.0,385533926,9.4,6.4,1.3,20.8
Sh*t My Dad Says,Justin Halpern,15.99,9.58,H,176.0,It Books,2010.0,61992704,6.9,5.4,0.7,8.8
Slaughterhouse-Five,Kurt Vonnegut,15.0,7.89,P,288.0,Dial Press Trade,1999.0,385333846,8.0,5.3,0.6,9.6
Sleep for Success: Everything You Must Know About Sleep but Are too Tired to Ask,James B. Maas,24.0,16.32,H,242.0,Author Solutions,2010.0,1452037760,9.1,6.1,1.1,17.6
Someone Was Watching,David Patneaude,6.95,6.95,P,224.0,Albert Whitman & Company,1993.0,807575321,7.6,5.3,0.6,8.0
Songs of the Humpback Whale: A Novel,Jodi Picoult,16.0,10.22,P,352.0,Pocket Books,1992.0,743431014,8.3,5.4,1.0,13.6
"Speak, Memory: An Autobiography Revisited",Vladimir Nabokov,16.0,10.88,P,336.0,Vintage,1989.0,0679723390,7.9,5.1,0.8,11.2
Stalin's Genocides (Human Rights and Crimes Against Humanity),Norman Naimark,26.95,17.79,H,176.0,Princeton University Press,2010.0,691147841,8.6,5.7,0.8,12.6
State of Wonder,Ann Patchett,26.99,15.44,H,368.0,Harper,2011.0,0062049801,9.1,5.6,1.4,19.2
Story of a Girl,Zarr,7.99,7.99,P,224.0,"Little, Brown",2008.0,316014540,8.2,5.4,0.5,4.8
Strong Men Armed,Robert Leckie,17.95,12.08,P,600.0,DA CAPO PRESS,2010.0,306818876,8.2,5.5,1.6,20.8
Style: Lessons in Clarity and Grace,Joseph M. Williams,35.75,21.68,P,288.0,Longman,2010.0,205747469,8.4,5.4,0.5,12.0
Surviving Hitler: A Boy in the Nazi Death Camps,Andrea Warren,6.99,6.99,P,160.0,HarperCollins,2002.0,60007672,9.0,7.2,0.4,8.0
Swimsuit,James Patterson & Maxine Paetro,9.99,9.99,P,400.0,Grand Central Publishing,2011.0,446561355,7.8,4.2,1.2,7.2
Taming the Star Runner,S.E. Hinton,6.99,6.99,P,192.0,Laurel Leaf,1989.0,440204798,6.7,4.2,0.6,4.0
Texts From Last Night: All the Texts No One Remembers Sending,Lauren Leto,15.0,10.2,P,192.0,Gotham,2010.0,1592405436,7.1,4.9,0.5,9.1
